,text
48,7.7.3 Испытания на холодо- и теплоустойчивость проводят при температуре в соответствии с исполнением и категорией по ГОСТ 15150 (теплоустойчивость - не ниже 50 °C).
49,"7.6.2 Вид испытательной среды и испытательное давление устанавливают в зависимости от рабочей среды арматуры: - для арматуры, которая по условиям эксплуатации находится под давлением воды, испытательная среда - вода, испытательное давление P исп = 1,1 P р ; - для арматуры, которая по условиям эксплуатации находится под давлением пенообразователя, испытательная среда - вода, испытательное давление P исп = 1,1 P ПО , где P ПО - давление в линии подачи пенообразователя в дежурном режиме; - для арматуры, которая по условиям эксплуатации находится под давлением воздуха (газа), испытательная среда - воздух, испытательное давление равно (0,60 +/- 0,1) МПа."
50,6.5 При получении неудовлетворительных результатов хотя бы по одному из показателей должны быть проведены повторные испытания удвоенного количества устройств для проверки указанного показателя.
51,Допускается совмещать определение различных показателей в одном испытании.
52,7.5.2 Утечка воздуха через монтажные соединения и уплотнения комплектующего оборудования и трубопроводов не допускается.
53,Значение давления испытательной среды устанавливают не менее рабочего давления на вводе в устройство.
54,"7.1 Допустимая погрешность приборов и оборудования, используемых при проведении испытаний."
55,5.2 Конструкция устройства должна исключать самопроизвольное включение органов управления и механизмов.
56,"5.4 Токопроводящие цепи устройства должны иметь защиту от механических повреждений, воздействия воды и пенообразователя."
57,4.2.18 Конструкция устройства должна обеспечивать возможность демонтажа устройств измерения давления для их периодической поверки.
58,Вся эксплуатационная документация должна быть оформлена в соответствии с ГОСТ 2.601 и содержать значения показателей по 4.2.1 [ a) - m) ].
59,"4.3 Комплектность В комплект поставки устройства должны входить комплектующие изделия, предусмотренные ТД на изделие, паспорт, руководство по эксплуатации, пневмогидравлическая схема."
60,"4.2.8 Пусковой элемент устройства (ручка, кнопка, рычаг и т.п.) должен быть окрашен в красный цвет по ГОСТ 12.4.026."
61,"4.2.5 Инерционность устройства не должна превышать значение, установленное изготовителем и указанное в ТД."
62,"4.2.10 Трубопроводы, уплотнения и арматура, взаимодействующие с пеной и пенообразователем, должны изготавливаться с использованием материалов и/или покрытий, стойких к действию пенообразователей."
63,4.2.9 Трубопроводы и арматура должны быть защищены от коррозии за счет применения коррозионно-стойких материалов и/или покрытий.
64,"3.1.12 пробное давление P пр (test pressure P t ): Избыточное давление, при котором следует проводить испытание устройства на прочность."
65,"Если заменен ссылочный документ, на который дана датированная ссылка, то следует использовать указанную версию этого документа."
66,"4.2.2 Значения показателей назначения устройства по 4.2.1 должны соответствовать значениям, указанным в ТД на них."
67,"7.1.2 Проверку расхода воды, величины дозирования пенообразователя и определение кратности и устойчивости пены проводят контрольно-измерительными приборами, входящими в состав испытательного стенда, или проверяемого устройства, или устанавливаемыми на устройство на момент проверки."
68,"4.2.16 Конструкция входящих в состав устройства ручных задвижек, затворов и кранов должна позволять проводить их опломбирование в рабочем положении."
69,"4.2.12 Комплектующее оборудование устройства, трубопроводы и их соединения должны обеспечивать герметичность относительно внешней среды при воздействии давления не менее установленного рабочего давления на вводе в устройство."
70,"4.2.17 При осмотре ручных запорных устройств (задвижек, затворов и кранов) должна быть обеспечена возможность визуального контроля их состояния: ""Открыто"" - ""Закрыто""."
71,"Запорные устройства должны быть снабжены указателями (стрелками) и надписями, обозначающими их положение (""Открыто"" - ""Закрыто"") или указывающими на включаемые/выключаемые режимы."
72,"4.2.20 Габаритные размеры и масса устройства должны соответствовать значениям, установленным изготовителем и указанным в ТД."
73,"7.6.3 Утечка в затворах не должна превышать значений, установленных для соответствующих классов герметичности по ГОСТ 9544."
74,В этом случае методика измерения расхода воды определяется изготовителем.
75,За результаты испытаний принимают среднеарифметическое значение не менее чем трех измерений.
76,7.10.1 Определение дозирования пенообразователя на основе измерения расхода воды и пенообразователя.
77,"7.11 Определение кратности и устойчивости пены Кратность и показатель устойчивости определяют для образцов пены, собранных при работе устройства в установившемся режиме с параметрами, соответствующими ТД на устройство."
78,"Уравнение данной функции является калибровочной кривой для определенного типа пенообразователя, качества воды и номинального процента дозирования пенообразователя."
79,"Затем с помощью кондуктометра, следуя руководству по его эксплуатации, измеряют проводимость полученных образцов и по имеющейся калибровочной кривой определяют искомое значение процента дозирования пенообразователя."
80,"Для полученного калибровочного графика определяют аппроксимирующую функцию, при этом коэффициент детерминации R 2 должен быть не менее 0,95."
81,Поэтому при использовании соленой воды следует осуществлять измерение величины дозирования по методике 7.10.1.
82,"7.10.2.2 До начала испытаний для каждого типа пенообразователя и для каждого номинального значения дозирования определяют эталонную (калибровочную) кривую зависимости электропроводности раствора пенообразователя от концентрации пенообразователя, содержащегося в растворе."
83,"Каждый образец раствора должен быть помещен в пластиковую емкость с крышкой, промаркирован и тщательно перемешан, например с использованием магнитной мешалки."
84,В этом случае методика измерения расхода пенообразователя определяется изготовителем.
85,7.10.2 Определение дозирования пенообразователя на основе измерения проводимости раствора.
86,За результаты испытаний принимают среднеарифметическое значение не менее чем трех измерений.
87,"7.10.2.1 Данный способ основан на существенной зависимости электропроводности раствора от концентрации содержащегося в нем пенообразователя и состоит в измерении электропроводности раствора, с последующим определением концентрации пенообразователя в растворе по калибровочному графику."
88,7.10.1.2 Расход пенообразователя определяют одновременно с расходом воды при проведении испытаний по 7.9.
89,"7.10.1.3 Допускается также определять расход пенообразователя с использованием уровнемера, установленного на емкости с пенообразователем."
90,Предварительно проводят тарировку уровнемера для определения объема жидкости в единице деления любым удобным для испытателя способом.
91,"При работе устройства в стационарном режиме, когда значения давления перед и за устройством соответствуют значениям, заданным в ТД, определяют начальное и конечное показания уровня в мерной трубке за заданное время."
92,Переполнение контейнера пеной не допускается.
93,"Контейнеры, заполненные пеной по 7.11.1 , закрывают во избежание испарения и оставляют на время, необходимое для перехода всего количества пены в раствор."
94,Выбор способа определения кратности осуществляется разработчиком устройства.
95,Массу раствора m pi в i -м контейнере определяют как разность масс заполненного и пустого контейнеров.
96,Определение кратности пены проводят одним из следующих способов: - взвешиванием образца пены (7.11.2.1) ; - взвешиванием образцов пены и раствора (7.11.2.2) ; - измерением объема выпадающего раствора (7.11.2.3).
97,Объем контейнеров и масса каждого из них должны быть измерены до начала испытаний с точностью в соответствии с 7.1.4.
98,"Предварительно, до измерения массы контейнеров, необходимо увлажнить контейнеры внутри, а затем измерить массу пустых увлажненных контейнеров, после чего осуществить сбор пены в них."
99,По окончании сбора пены определяют массу m i собранной в каждом контейнере пены как разность масс заполненного и пустого контейнеров и объем V i пены как объем контейнера.
100,Конкретное значение контролируемого процента выпадения раствора и соответствующее время выпадения определяет и вносит в ТД производитель.
101,"Контейнер должен быть заполнен полностью, равномерно, без образования пустот."
102,Количество контейнеров - не менее двух.
103,"7.11.2.2 Определение кратности способом взвешивания образцов пены и раствора Сущность данного способа состоит в том, что соотношение объемов пены и раствора, из которого эта пена получена, заменяют соотношением массы раствора, равного по объему пене, и массы пены."
104,"Момент начала истечения испытательной среды необходимо определять с помощью датчиков давления, аудио- и видеозаписи или другими объективными методами контроля."
105,При этом способ установки контейнера на цилиндр должен исключать возможность вытекания жидкости из контейнера за пределы мерного цилиндра.
106,"Критерием предельного состояния устройств считают такое их техническое состояние, при котором восстановление работоспособности устройства невозможно или нецелесообразно."
107,"7.10.2.3 Образцы раствора пенообразователя, по которым осуществляют оценку значения дозирования пенообразователя, получают в установившемся режиме работы устройства при температуре (21 +/- 2) °C."
108,"Испытание образцов проводят при температуре окружающего воздуха от 10 °C до 40 °C, скорости его движения не более 0,5 м/с и относительной влажности (60 +/- 15)%, измеренных на расстоянии от 1 до 1,5 м от поверхности образца."
109,"Продолжительность огневого воздействия на образцы конструкций должна соответствовать минимальному требуемому пределу огнестойкости испытываемой конструкции, но не превышать 45 мин."
110,"При отсутствии вышеуказанных протоколов испытаний и при необходимости использования показателей пожарной опасности материалов для классификации конструкции по пожарной опасности должны представляться образцы материалов, из которых изготовлена конструкция, для испытаний на горючесть, воспламеняемость и дымообразующую способность по 4.2 и 4.3 с соответствующей документацией."
111,"Длина образцов должна быть не менее 2,4 м, ширина - не менее 1,3 м, толщина - по технической документации."
112,"Способность к воспламенению газов, выделяющихся при термическом разложении материалов образца, проверяют посредством поднесения горящего факела к местам выхода этих газов на необогреваемые поверхности образца не реже чем через каждые 5 мин испытания и через каждую минуту - при появлении вспышек газа; длина намотки факела должна быть не менее 150 мм, а диаметр - не менее 40 мм."
113,"В случае различия результатов испытаний двух одинаковых образцов более чем на 15% проводят третье испытание, при этом размер повреждения определяют как среднеарифметическое значение по результатам испытаний двух образцов, имеющих наибольшие размеры повреждения."
114,"При этом среднее отклонение температуры от стандартного режима при калибровке не должно превышать следующих значений, %: +/- 7,5 - в течение 10 мин от начала испытания; +/- 5 - после 10 мин от начала испытания."
115,"В случае необходимости по требованию испытательной лаборатории в процессе изготовления образцов для испытаний следует проводить отбор проб материалов, в том числе негорючих, из которых изготовляют образцы, для проведения идентификационного и калориметрического контроля в соответствии с нормативными документами <*>."
116,"Повреждением считается обугливание, оплавление и выгорание материалов, из которых изготовлена конструкция, на глубину более 2 мм."
117,"При этом отклонение средней температуры, измеренной термопарами 19 - 21 по зависимости (1) , не должно превышать следующих значений, %: 15 - в течение 10 мин от начала калибровки; 10 - после 10 мин от начала калибровки."
118,"Калибровку печи проводят: - после 10 испытаний; - при изменении конструкции или футеровки печи; - при изменениях в системе подачи и сжигания топлива; - при замене типа топлива; - при температуре окружающей среды во время испытания образца, отличающейся более чем на 10 °C от температуры среды при проведении предшествующей калибровки."
119,"Пожарную опасность конструкции характеризуют: - наличием теплового эффекта (но не его значением) от горения материалов образца, который выражается в превышении температуры в тепловой камере по сравнению с верхней допустимой границей температурного режима, установленного в 7.4 ; - наличием пламенного горения газов, выделяющихся при термическом разложении материалов образца, продолжительностью более 5 с; - наличием горящего расплава при продолжительности его горения более 5 с; - размером повреждения образца в контрольной зоне с учетом условий 9.15."
120,"Одна и та же конструкция может принадлежать к различным классам пожарной опасности в зависимости от времени теплового воздействия, например: К0(15) - конструкция класса К0 при времени теплового воздействия 15 мин; К1(30) - конструкция класса К1 при времени теплового воздействия 30 мин; К2(45) - конструкция класса К2 при времени теплового воздействия 45 мин; К1(30)/К3(45) - конструкция класса К1 при времени теплового воздействия 30 мин и класса К3 при времени теплового воздействия 45 мин."
121,"Образцы конструкций для испытаний, включая стыки и их заполнение, должны быть изготовлены в соответствии с технической документацией на изготовление и применение конструкций."
122,"Горючесть материала устанавливают по ГОСТ 30244 , воспламеняемость - по ГОСТ 30402 , дымообразующую способность - по ГОСТ 12.1.044 , а при необходимости рекомендуется контролировать путем их идентификационного анализа и калориметрического анализа по действующим нормативным документам."
123,"Сущность метода заключается в определении показателей пожарной опасности конструкции при ее испытании в условиях теплового воздействия, установленных настоящим стандартом, в течение времени, определяемого требованиями к этой конструкции по огнестойкости."
124,"Если ссылочный стандарт заменен (изменен), то при пользовании настоящим стандартом следует руководствоваться заменяющим (измененным) стандартом."
125,Номенклатура показателей и методы их определения ГОСТ 6616-94.
126,"При передаче заказчиком образцов конструкций испытательной лаборатории обеими сторонами составляется акт о соответствии образца требованиям технической документации на испытываемую конструкцию, а в случае необходимости - акт отбора проб материалов для проведения идентификационного и калориметрического контроля."
127,Калибровочные образцы должны соответствовать требованиям ГОСТ 30247.0.
128,"Образцы не должны иметь проемов, а также декоративной отделки или облицовки."
129,"Образование горящего расплава контролируют визуально по наличию горящих капель, вытекающих из торцов образца или стекающих по поверхности образца в пределах контрольной зоны."
130,Образцы внутренних стен и перегородок несимметричного сечения следует испытывать при воздействии огня с каждой стороны либо со стороны с заведомо большей пожарной опасностью.
131,В огневой камере установки термопары следует размещать в соответствии с ГОСТ 30247.0.
132,"Расстояние от термопар, устанавливаемых по перечислениям в) и д) , до торца или стыка образца должно быть не менее 1/2 его толщины."
133,"Для испытания конструкции одного типа должны быть, как правило, изготовлены два одинаковых образца."
134,"Материалы и детали образцов, подлежащих испытанию, в том числе стыковые соединения ограждающих конструкций, должны соответствовать технической документации на их изготовление и применение."
135,"В процессе испытания следует регистрировать следующие параметры, по которым определяется класс пожарной опасности конструкции: - температуру в огневой и тепловой камерах для определения наличия теплового эффекта; - способность к воспламенению газов, выделяющихся при термическом разложении материалов образца; - образование горящего расплава."
136,"Конструкции, имеющие в проектном положении уклон менее 30°, следует испытывать в вертикальном положении, остальные - в горизонтальном."
137,Рекомендуется определять глубину и площадь обугливания горючих материалов в пределах огневой камеры с занесением этих данных в протокол испытания.
138,"Факел должен иметь держатель, обеспечивающий его безопасное использование."
139,"Температуру в тепловой камере следует регистрировать по показаниям термопар, установленных в соответствии с 8.3.2."
140,"Температуру в огневой камере следует регистрировать по показаниям термопар, установленных в соответствии с 8.3.1."
141,После остывания образца проводят его обследование с целью определения и регистрации размеров повреждения в контрольной зоне.
142,При измерении размеров повреждения слоистых конструкций необходимо путем вскрытия обследовать все слои конструкции.
143,Размер повреждения конструкции определяют как среднеарифметическое значение по результатам испытания двух одинаковых образцов.
144,Отбор проб проводится совместно представителями испытательной лаборатории и заказчика. -------------------------------- <*> В Российской Федерации действует ГОСТ Р 53296-2009.
145,"9.1 Испытания образца конструкции проводят при температуре воздуха от 1 °C до 30 °C, скорости его движения не более 0,5 м/с и относительной влажности (60 +/- 15)%, измеренных на расстоянии от 1 до 1,5 м от поверхности образца."
146,"3.4 система теплоизоляции : Система из двух и более слоев, используемая для нанесения на стену и содержащая не менее одного слоя, предназначенного для повышения теплотехнических свойств стены."
147,5.10.2 Для измерения плотности потока теплового излучения следует использовать датчики неселективного поглощенного теплового потока (далее - тепломеры) с точностью измерения не менее 20%.
148,"6.3 Нижний горизонтальный торец на всю ширину и центральная часть верхнего горизонтального торца шириной не менее 500 мм невентилируемых систем теплоизоляции или отделок, выполненных на фрагменте стены или на образцах испытуемых стен, не должны иметь наружного защитного слоя."
149,"Интервал времени регистрации показаний тепломеров не должен превышать 10 с, термопар - 60 с."
150,"7.4.2 Температура, регистрируемая термопарой Т2 в период с 10-й по 20-ю минуты калибровки испытательной установки, должна быть не менее 600 °C."
151,"А.4.2 При изменении в процессе выполнения ТА массы образца идентифицируемого материала на 10% и более следует обеспечить такие условия выполнения ТА, чтобы изменение значений регистрируемых параметров было не более 5%."
152,"При этом первое значение потери образцом относительной массы , %, следует принимать равным 0,5%, фиксируя соответствующую ему температуру , °C, а конечное , %, - следует определять при температуре, соответствующей окончанию всех контролируемых при ТА явлений, но не ниже 750 °C."
153,"Остальные значения фиксированной потери образцом относительной массы определяют по достаточно характерным точкам на ТГ-зависимости, например, 5%, 10%, 50%, 96%."
154,11.3 В протоколе испытаний в соответствии с 5.7 должна быть сделана запись о виде использованного топлива и условиях его сжигания.
155,"Высота светящейся части факела пламени над верхним обрезом открытого проема фрагмента стены в непрерывном интервале с 10-й по 20-ю минуты калибровки должна быть не менее 1,2 м."
156,"5.10.3 Для измерения расхода жидкого или газообразного топлива следует использовать расходомеры с точностью измерения не менее 10% номинального расхода, установленного при калибровке установки."
157,А.3 Подготовка к проведению испытаний образцов идентифицируемого материала А.3.1 Для идентификационного контроля отбирают не менее пяти проб материала объемом не менее 1 см 3 каждая: - не менее чем из трех проб изготавливают образцы для выполнения ТА; - не менее двух проб оставляют на контрольное хранение.
158,А.3.4 Массу и размеры образцов определяют с учетом технических требований инструкции по эксплуатации используемого для выполнения ТА прибора.
159,"А.5.3 Потерю массы идентифицируемого материала [см. А.1.1, перечисление а) ] рекомендуется также характеризовать потерей относительной массы , %, при фиксированных значениях температуры °C, по достаточно характерным точкам на ТГ-зависимости, аналогично выделяя на ней не менее пяти характерных точек, например, 350 °C, 400 °C, 420 °C, 550 °C, 670 °C."
160,"9.11 Регистрацию измеряемых параметров прекращают после снижения температуры в точке Т1 до (450 +/- 5) °C, но не ранее чем через 45 мин после начала испытания образца конструкции, при условии устойчивого снижения температур на поверхности и внутри образца."
161,"А.2.2 Для выполнения ТА рекомендуется использовать приборы модульного или совмещенного типов, а также другие приборы, отвечающие следующим требованиям: - интервал температур нагрева образцов - не менее чем от 25 °C до 1000 °C; - интервал скорости нагревания образца - от 5 °C до 20 °C в минуту; - точность измерения температур в диапазоне от 50 °C до 1000 °C не менее 3%; - точность измерения разности температур образца и эталона не менее 0,2 °C; - возможность подачи в реакционную зону (тигельное пространство) воздуха с расходом, рекомендуемым инструкцией по использованию данного типа прибора и тиглей; - точность измерения массы образца должна быть не менее 1,5%."
162,"10.4 Для стен, соответствующих требованиям 1.3, перечисление д) , не имеющих защитно-декоративных систем, указанных в 1.1 , или с отделкой из традиционных негорючих материалов и изделий (фасадной керамической плитки с массой менее 1 кг, кирпича, штукатурных, шпаклевочных и клеевых растворов), выполняемой без воздушного зазора между отделкой и основной частью стены, допускается устанавливать класс пожарной опасности К0 без испытаний образцов этих конструкций."
163,Не учитывается повреждение материалов толщиной менее 2 мм.
164,"9.5 События, перечисленные в 9.4 , и время их реализации фиксируют визуально и с помощью фото- и видеосъемки."
165,5.10 Система измерения и регистрации параметров пожарной опасности образцов конструкций включает в себя: - систему измерения температур; - систему измерения плотности потока теплового излучения; - систему измерения и регистрации расходов жидкого или газообразного топлива; - фото- и видеоаппаратуру.
166,"7.6 Показания термопар и тепломеров при калибровке испытательной установки регистрируют не реже чем через 60 и 10 с (1 и 0,167 мин) соответственно."
167,5.8 В качестве твердого топлива для обеспечения требуемых параметров теплового воздействия на внешнюю сторону калибровочного образца и образца испытуемой стены рекомендуется использовать древесину хвойных пород в виде брусков с весовой влажностью 12% - 15%.
168,Технические условия ГОСТ 30244-94 Материалы строительные.
169,Общие требования и номенклатура видов защиты ГОСТ 12.1.033-81 Система стандартов безопасности труда.
170,2 Нормативные ссылки В настоящем стандарте использованы ссылки на следующие стандарты: ГОСТ 12.1.004-91 Система стандартов безопасности труда.
171,Общие санитарно-гигиенические требования к воздуху рабочей зоны ГОСТ 12.1.019-79 Система стандартов безопасности труда.
172,Общие требования ГОСТ 12.1.005-88 Система стандартов безопасности труда.
173,"А.5.4 Параметр скорости потери массы идентифицируемого материала [см. А.1.1, перечисление б) ] характеризуют величиной A , % в минуту: , (А.1) где m - относительная масса образца материала, %; t - время, мин; V - скорость нагрева образца, °C в минуту; T - температура образца, °C."
174,"9.9 Повреждением считают обугливание материалов, из которых выполнен образец, на глубину 2 мм и более, их оплавление с признаками горения - обугливанием или образованием расплава черного цвета при светлых тонах окраски исходного материала."
175,А.3.5 Для материалов с потерей массы образца в процессе выполнения ТА 10% и более массу образца рекомендуется принимать близкой к максимально возможной для используемого прибора.
176,"9.4 В процессе испытания регистрируют показания установленных датчиков, а также следующие события и время их реализации, характеризующие пожарную опасность испытуемой конструкции: а) распространение горения по поверхности образца; б) воспламенение газов, выделяющихся при термическом разложении материалов, примененных при изготовлении образца, по его торцам; в) образование горящего расплава и (или) частиц, приводящее к воспламенению рубероида, расположенного в соответствии с 5.5 у основания образца; при падении горящих элементов образца только на нижний откос его открытого оконного проема или если их размеры заведомо больше размеров горящих элементов, падающих перед образцом конструкции на рубероид, наиболее крупные из них по размерам следует незамедлительно сбрасывать с откоса открытого оконного проема на рубероид с целью выявления возможности его воспламенения; г) высоту факела пламени; д) обрушение элементов образца."
177,"6.2 Размеры, кроме толщины, основной части испытуемого образца конструкции стены, в том числе размеры и расположение имитации оконного проема, размеры и расположение открытого проема без заполнения должны соответствовать размерам и расположению тех же элементов фрагмента стены."
178,В пределах конкретной партии древесина должна быть одного вида и сорта.
179,5.10.1 Для измерения температур факела пламени по высоте и температуры на поверхности и внутри образцов испытуемых конструкций должны применяться термоэлектрические преобразователи (далее - термопары).
180,"Горизонтальные торцы вентилируемых систем теплоизоляции или облицовок, выполненных на фрагменте стены или на образцах испытуемых стен, должны быть открытыми на всю ширину, а вертикальные торцы - закрытыми на всю высоту."
181,Всю партию следует приобретать у одного поставщика.
182,Весовую влажность древесины следует контролировать в день проведения калибровки установки или испытаний образцов конструкций.
183,Вертикальные оси симметрии открытого проема огневой камеры и оконного проема без заполнения фрагмента стены или образца конструкции стены должны совпадать.
184,Метод определения пожарной опасности СТ СЭВ 383-87 Пожарная безопасность в строительстве.
185,"Если ссылочный стандарт заменен (изменен), то при пользовании настоящим стандартом следует руководствоваться заменяющим (измененным) стандартом."
186,"5.2 Огневая камера должна иметь открытый проем для выхода факела пламени на внешнюю сторону фрагмента стены или образца конструкции стены, имитируя воздействие факела пламени из помещения с очагом пожара на внешнюю сторону наружной стены здания."
187,Перед использованием каждой новой партии древесины следует предварительно проводить калибровку испытательной установки с древесиной новой партии.
188,"5.10.4 Оборудование для измерения массы, длины, времени, весовой влажности твердого топлива, температуры окружающей среды, скорости движения воздуха, относительной влажности воздуха должно быть не менее 2-го класса точности."
189,7.4.3 Факел пламени из открытого проема огневой камеры установки должен выходить на внешнюю поверхность фрагмента стены не позднее 6-й минуты и уходить внутрь огневой камеры не ранее 25-й минуты калибровки.
190,"7.4.1 Температура, регистрируемая термопарой Т1, должна быть в пределах, указанных в таблице 1."
191,7.4 Тепловой режим при калибровке испытательной установки должен соответствовать требованиям 7.4.1 - 7.5.
192,При измерении размеров повреждения материалов образца необходимо обследовать все слои и элементы образца путем его вскрытия.
193,8.4 Проведению испытаний образцов конструкций должны предшествовать калибровочные испытания установки в соответствии с требованиями 7.9.
194,"9.7 После остывания образца испытуемой конструкции проводят его обследование с целью определения и регистрации размеров и характера повреждения материалов, примененных при изготовлении образца."
195,"Показания термопар и тепломеров следует регистрировать с теми же интервалами времени, что и при калибровке."
196,"9.6 Кроме событий, указанных в 9.4 , в процессе испытания следует регистрировать: - время появления и характер развития в образце трещин, отверстий, отслоений; - время изменения цвета и плотности дыма, выделяющегося из материалов, примененных при изготовлении образца, вследствие их горения или термического разложения; - время появления и изменения интенсивности запахов, характерных для термического разложения органических материалов образца; - другие внешне проявляющиеся особенности реакции образца на тепловое воздействие."
197,"А.5.2 Потерю массы идентифицируемого материала [см. А.1.1, перечисление а) ] характеризуют фиксированными на ТГ-зависимостях значениями потери образцом относительной массы , %, , %), число которых должно быть не менее пяти, и соответствующими им значениями температур °C - °C."
198,В этом случае значение параметра определяют как среднеарифметическое значение.
199,А.4.3 Для получения значений регистрируемых при выполнении ТА параметров проводят испытания не менее двух образцов материала.
200,Из проб неоднородных материалов готовят не менее трех усредненных образцов путем измельчения не менее трех проб до порошкообразного состояния и тщательного перемешивания.
